-10  -7.0  -3.8  -2.8  -1.9  -0.9  -0.5  -0.2  -0.1  0  0.2  0.4  0.85  1.25  1.8  3.6
0  1  2  4  6  9  12  15  18  21  24  27  30  33  36
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  1.8  6.0  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  1.8  6.1  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  1.8  6.2  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  1.8  6.4  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  1.8  6.6  11.0  20.5  30.0  42.0  83.0
-100.0  -70.6  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  2.1  6.9  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  2.4  7.1  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  2.6  7.2  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  2.8  7.3  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  3.0  7.4  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  3.2  7.5  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  3.4  7.6  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  3.6  7.7  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  3.8  7.8  11.0  20.5  30.0  42.0  83.0
-100.0  -70.0  -40.0  -30.0  -20.0  -10.0  -5.0  -1.0  0  4.0  7.9  11.0  20.5  30.0  42.0  83.0
